"";"Short";"Short2";"Genus_species";"Update1";"Update2";"Source1";"Source2";"Final"
"84";" H. boucardi";"H  boucardi";"Hybopsis boucardi";"Notropis boucardi";NA;"FishBase";NA;NA
"85";"H. boucardi";"H  boucardi";"Hybopsis boucardi";"Notropis boucardi";NA;"FishBase";NA;NA
"86";"H. burtoni";"H  burtoni";"Haplochromis burtoni";"Astatotilapia burtoni";NA;"FishBase";NA;NA
"87";" H. calientis";"H  calientis";"Hybopsis calientis";"Notropis calientis";NA;"FishBase";NA;NA
"88";"H. cf. cyanoguttatus";"H  cf  cyanoguttatus";"Herichthys cf cyanoguttatus";NA;NA;NA;NA;NA
"89";"H. cyanoguttatus";"H  cyanoguttatus";"Herichthys cyanoguttatus";NA;NA;NA;NA;NA
"90";" H. jonesii";"H  jonesii";"Heterandria jonesii";"Pseudoxiphophorus jonesii";NA;"FishBase";NA;NA
"91";"H. jonesii";"H  jonesii";"Heterandria jonesii";"Pseudoxiphophorus jonesii";NA;"FishBase";NA;NA
"92";" H. turneri";"H  turneri";"Hubbsina turneri";NA;NA;NA;NA;NA
"93";"Heterandria sp.";"Heterandria sp";"Heterandria sp";"Pseudoxiphophorus sp";NA;"FishBase";NA;NA
"94";" Heterandria sp.";"Heterandria sp ";"Heterandria sp";"Pseudoxiphophorus sp";NA;"FishBase";NA;NA
"95";" I. dugesii";"I  dugesii";"Ictalurus dugesii";NA;NA;NA;NA;NA
"96";" I. furcidens";"I  furcidens";"Ilyodon furcidens";NA;NA;NA;NA;NA
"97";"I. furcidens";"I  furcidens";"Ilyodon furcidens";NA;NA;NA;NA;NA
"98";" I. mexicanus";"I  mexicanus";"Ictalurus mexicanus";NA;NA;NA;NA;NA
"99";" I. whitei";"I  whitei";"Ilyodon whitei";NA;NA;NA;NA;NA
"100";"I. whitei";"I  whitei";"Ilyodon whitei";NA;NA;NA;NA;NA
"101";" L. macrochirus";"L  macrochirus";"Lepomis macrochirus";NA;NA;NA;NA;NA
"102";"L. macrochirus";"L  macrochirus";"Lepomis macrochirus";NA;NA;NA;NA;NA
"103";"L. macrochirus (1965)";"L  macrochirus  1965";"Lepomis macrochirus";NA;NA;NA;NA;NA
"104";" M. aculeata";"M  aculeata";"Menidia aculeata";"Chirostoma aculeatum";NA;"FishBase";NA;NA
"105";" M. arge";"M  arge";"Menidia arge";"Chirostoma arge";NA;"FishBase";NA;NA
