"Genus_species","Previous","Updated","Regional_Status","Comment","Authority","IUCN_Status","Family"
"Neotoca bilineata","Skiffia bilineata","yes","Native",NA,"Neotoca bilineata (Bean, 1887)","Endangered","Goodeidae"
"Aztecula amecae","Notropis amecae","yes","Extirpated",NA,"Aztecula amecae (Chernoff & Miller 1986)","Extinct in the Wild",NA
"Graodus boucardi","Hybopsis/Notropis boucardi","yes","Native",NA,"Graodus sp Günther, 1868","Endangered","Leuciscidae"
"Notropis calientis","Hybopsis calientis","yes","Native","Said to NOT be found in 2005 in paper 2018","Notropis calientis Jordan & Snyder, 1899","Critically Endangered","Leuciscidae"
"Oreochromis aureus","Oreochromis aureus","no","Introduced",NA,"Oreochromis aureus (Steindachner, 1864)","Least Concern","Cichlidae"
"Oreochromis mossambicus","Oreochromis mossambicus","no","Introduced",NA,"Oreochromis mossambicus (Peters, 1852)","Vulnerable","Cichlidae"
"Oreochromis niloticus","Oreochromis niloticus","no","Introduced",NA,"Oreochromis niloticus (Linnaeus, 1758)","Least Concern","Cichlidae"
"Oreochromis sp","Oreochromis sp","no","Introduced",NA,"Oreochromis sp Günther, 1889",NA,"Cichlidae"
"Poecilia butleri","Poecilia butleri","no","Native",NA,"Poecilia butleri Jordan, 1889","Least Concern","Poeciliidae"
"Poecilia chica","Poecilia chica","no","Extirpated",NA,"Poecilia chica Miller, 1975","Data Deficient","Poeciliidae"
"Poecilia latipunctata","Poecilia latipunctata","no","Native",NA,"Poecilia latipunctata Meek, 1904","Data Deficient","Poeciliidae"
"Poecilia mexicana","Poecilia mexicana","no","Native",NA,"Poecilia mexicana Steindachner, 1863","Least Concern","Poeciliidae"
"Poecilia reticulata","Poecilia reticulata","no","Introduced",NA,"Poecilia reticulata Peters, 1859","Least Concern","Poeciliidae"
"Poecilia sp","Poecilia sp","no","Native",NA,"Poecilia sp Bloch & Schneider 1801",NA,"	Poeciliidae"
"Poecilia sphenops","Poecilia sphenops","no","Native",NA,"Poecilia sphenops Valenciennes, 1846","Least Concern","Poeciliidae"
"Poeciliopsis baenschi","Poeciliopsis baenschi","no","Native",NA,"Poeciliopsis baenschi Meyer, Radda, Riehl & Feichtinger, 1986","Data Deficient","Poeciliidae"
