"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"40",6,"07",2005,"manantial en 27 de Nov.","rio San Pedro Mezquital","manantial en 27 de Noviembre",24.22,-104.51,"UMMZ 203230","UMMZ - JMH76-19 ","JM Humphries & ML Smith","C. lateralis, C. meeki, G. cf. senilis, M. mezquital","4","C. lateralis, C. meeki, G. cf. senilis, M. mezquital","4","0","L. macrochirus","1976",1,"C. lateralis, C. meeki, G. cf. senilis, M. mezquital","4",0,"–","1","L. macrochirus, O. aureus","2","1",NA,NA,"una especie no capturada","Spring","San Pedro Mezquital River","Spring at 27 de Noviembre"
"41",6,"07",2005,"manantial en El Toboso","rio San Pedro Mezquital","manantial en El Toboso",24.28,-104.58,"UMMZ 213312","UMMZ - RRM85-4 ","RR Miller","C. audax","1","C. audax, G. cf. senilis","2","1",NA,"1985",1,"C. audax, G. cf. senilis","2",1,"1",NA,NA,"0","1",NA,NA,NA,"Spring","San Pedro Mezquital River","Spring at El Toboso"
"42",7,"07",2005,"laguna de Magdalena","rio Ameca","Laguna de Magdalena",20.9,-104,"UMMZ 178320, 179229","UMMZ - RRM57-16 / UMMZ - Z179229","RR Miller, R Conant","A. maculata, A. tincella, G. atripinnis, P. infans, X. eiseni, X. melanosoma","6","A. maculata, A. tincella, G. atripinnis, P. infans, X. eiseni, X. melanosoma","6","0",NA,"1957 / 1961",2,"A. maculata, X. melanosoma","2",0,"–","1","C. carpio, O. aureus","2","0.33333333333333331",NA,NA,"UMMZ 179229 es una colecta muy extraña","Shallow lake","Ameca River","Magdalena Lagoon"
"43",7,"09",2005,"represa en Hda. San Sebastian","rio Ameca","represa en Hda. San Sebastian",20.82,-104.12,"UMMZ 173555","UMMZ - CLT39-14 ","Turner","A. maculata, A. tincella, G. atripinnis, P. infans, S. austrinus, X. eiseni, X. melanosoma","7","A. maculata, A. tincella, G. atripinnis, P. infans, S. austrinus, X. eiseni, X. melanosoma","7","0",NA,"1939",1,"G. atripinnis, P. infans, X. eiseni, X. melanosoma","4",0,"–","1","X. maculatus, O. aureus","2","0.5714285714285714",NA,NA,NA,"Impounded stream","Ameca River","Impoundment San Sebastian"
"44",7,"09",2005,"rio de La Pola","rio Ameca","Rio de La Pola",20.53,-104.34,"UMMZ 178348","UMMZ - RRM57-22 ","RR Miller","A. polylepis, I. furcidens, S. austrinus","3","A. polylepis, I. furcidens, S. austrinus","3","0",NA,"1957",1,"I. furcidens","1",0,"–","1","C. carpio, Oreochromis sp.","2","0.33333333333333331",NA,NA,NA,"Small river","Ameca River","De La Pola River"
"45",7,"09",2005,"rio Ameca en Los Murillos","rio Ameca","Arroyo Grande en el Rancho Los Murillos",20.58,-104.15,"UMMZ 178344, 198850","UMMZ - RRM57-21 / UMMZ - RRM76-38","RR Miller, RR Miller","A. goslinei, A. polylepis, I. furcidens, P. infans, S. austrinus","5","A. goslinei, A. polylepis, I. furcidens, P. infans, S. austrinus","5","0",NA,"1957 / 1976",2,"P. infans","1",0,"–","1","P. butleri, Oreochromis sp., X. hellerii","3","0.2",NA,NA,"La comunidad en 1957 era: P. infans, I. furcidens, A. goslinei, S. austrinus. En 1976 era: A. goslinei. S. austrinus, A. polylepis. ???","Small river","Ameca River","Ameca River at Los Murillos"
"46",7,"09",2005,"rio Ameca en La Vega","rio Ameca","Rio Ameca en La Vega",20.58,-103.86,"UMMZ 173544","UMMZ - CLT39-12 ","Turner","A. tincella, N. amecae, P. infans, S. austrinus, Y. alta","5","A. tincella, G. atripinnis, N. amecae, P. infans, S. austrinus, Y. alta","6","1",NA,"1939",1,"G. atripinnis, P. infans","2",1,"1",NA,"O. aureus, C. encaustus, X. hellerii, X. maculatus","4","0.33333333333333331",NA,NA,NA,"Small river","Ameca River","Ameca River at La Vega"
"49",8,"10",2005,"balneario Los Rosales","rio Gde. de Santiago","balneario Los Rosales",21.43,-104.83,"UMMZ 192161","UMMZ - CDB69-8 ","Clyde Barbour","C. beani, G. atripinnis, P. butleri, P. viriosa, X. eiseni","5","C. beani, G. atripinnis, P. butleri, P. viriosa, X. eiseni","5","0",NA,"1969",1,"P. butleri","1",0,"–","1","H. burtoni","1","0.2",NA,NA,NA,"Modified spring","Grande de Santiago River","Balneario Los Rosales"
"51",8,"10",2005,"laguna de Sta Maria","rio Gde. de Santiago","Lago de Santa Maria",21.36,-104.56,"UMMZ 178315, 183987, 189083","UMMZ - RRM57-14 / UMMZ - Z183987 / UMMZ - RRM68 - 34","RR Miller, G Zug, RR Miller","G. atripinnis, M. humboldtiana, P. viriosa, X. eiseni","4","G. atripinnis, M. humboldtiana, P. viriosa, X. eiseni","4","0","L. macrochirus (1965), P. butleri (1968)","1957 / 1965 / 1968",1,"ninguno","0",0,"–","1","L. macrochirus, M. salmoides, O. niloticus","3","0",NA,NA,NA,"Shallow lake","Grande de Santiago River","Sta Maria Lagoon"
"52",8,"10",2005,"rio Barranquitas","rio Gde. de Santiago","Rio Barranquitas",21.03,-104.18,"UMMZ 172232","UMMZ - RRM55-69 ","RR Miller","G. fluviatilis, S. austrinus, X. eiseni","3","G. fluviatilis, S. austrinus, X. eiseni","3","0",NA,"1955",1,"S. austrinus","1",0,"–","1","Poecilia cf. butleri","1","0.33333333333333331",NA,NA,NA,"Stream","Grande de Santiago River","Barraquitas River"
