"","Short","Short2","Genus_species","Synonym","Update","Update_comment","Genus_species_ECF"
"102","I. whitei","I  whitei","Ilyodon whitei","FALSE",NA,NA,"Ilyodon whitei"
"103"," 'juiles'","juiles ","Rhamdia sp","FALSE",NA,NA,"Rhamdia sp"
"104"," L. macrochirus","L  macrochirus","Lepomis macrochirus","FALSE",NA,NA,"Lepomis macrochirus"
"105","L. macrochirus","L  macrochirus","Lepomis macrochirus","FALSE",NA,NA,"Lepomis macrochirus"
"106","L. macrochirus (1965)","L  macrochirus  1965","Lepomis macrochirus","FALSE",NA,NA,"Lepomis macrochirus"
"107"," M. aculeata","M  aculeata","Menidia aculeata","TRUE","Chirostoma aculeatum",NA,"Chirostoma aculeatum"
"108"," M. arge","M  arge","Menidia arge","TRUE","Chirostoma arge",NA,"Chirostoma arge"
"109"," M. attenuata","M  attenuata","Menidia attenuata","TRUE","Chirostoma attenuatum",NA,"Chirostoma attenuatum"
"110","M. attenuata","M  attenuata","Menidia attenuata","TRUE","Chirostoma attenuatum",NA,"Chirostoma attenuatum"
"111"," M. chapalae","M  chapalae","Menidia chapalae","TRUE","Chirostoma chapalae",NA,"Chirostoma chapalae"
"112"," M. charari","M  charari","Menidia charari","TRUE","Chirostoma charari",NA,"Chirostoma charari"
"113"," M. consocia","M  consocia","Menidia consocia","TRUE","Chirostoma consocium","ECF: Could be C chapalae or C reseratum","Chirostoma consocium"
"114"," M. estor","M  estor","Menidia estor","TRUE","Chirostoma estor",NA,"Chirostoma estor"
"115"," M. humboldtiana","M  humboldtiana","Menidia humboldtiana","TRUE","Chirostoma humboldtianum",NA,"Chirostoma humboldtianum"
"116"," M. jordani","M  jordani","Menidia jordani","TRUE","Chirostoma jordani",NA,"Chirostoma jordani"
"117","M. jordani","M  jordani","Menidia jordani","TRUE","Chirostoma jordani",NA,"Chirostoma jordani"
"118"," M. labarca","M  labarca","Menidia labarcae","TRUE","Chirostoma labarcae",NA,"Chirostoma labarcae"
"119"," M. mezquital","M  mezquital","Menidia mezquital","TRUE","Chirostoma mezquital",NA,"Chirostoma mezquital"
"120"," M. patzcuaro","M  patzcuaro","Menidia patzcuaro","TRUE","Chirostoma patzcuaro","ECF: Could be C attenuatum or C estor","Chirostoma patzcuaro"
"121"," M. riojai","M  riojai","Menidia riojai","TRUE","Chirostoma riojai",NA,"Chirostoma riojai"
"122","M. riojai","M  riojai","Menidia riojai","TRUE","Chirostoma riojai",NA,"Chirostoma riojai"
"123"," M. salmoides","M  salmoides","Micropterus salmoides","FALSE",NA,NA,"Micropterus salmoides"
"124","M. salmoides","M  salmoides","Micropterus salmoides","FALSE",NA,NA,"Micropterus salmoides"
"125"," Menidia sp.","Menidia sp ","Menidia sp","TRUE","Chirostoma sp",NA,"Chirostoma sp"
"126"," N. amecae","N  amecae","Notropis amecae","FALSE",NA,NA,"Notropis amecae"
"127","nada","nada","none",NA,NA,NA,"none"
"128","nada (localidad no propicia)","nada  localidad no propicia","none",NA,NA,NA,"none"
"129","ninguno","ninguno","none",NA,NA,NA,"none"
"130"," no era la localidad buscada","no era la localidad buscada","it was not the right locality",NA,NA,NA,"it was not the right locality"
"131"," no hay vida acuática","no hay vida acuatica","no aquatic life",NA,NA,NA,"no aquatic life"
"132"," O. aureus","O  aureus","Oreochromis aureus","FALSE",NA,NA,"Oreochromis aureus"
"133","O. aureus","O  aureus","Oreochromis aureus","FALSE",NA,NA,"Oreochromis aureus"
"134","O. aureus (sin georreferencia)","O  aureus  sin georreferencia","Oreochromis aureus","FALSE",NA,NA,"Oreochromis aureus"
"135","O. mossambicus","O  mossambicus","Oreochromis mossambicus","FALSE",NA,NA,"Oreochromis mossambicus"
"136"," O. niloticus","O  niloticus","Oreochromis niloticus","FALSE",NA,NA,"Oreochromis niloticus"
"137","O. niloticus","O  niloticus","Oreochromis niloticus","FALSE",NA,NA,"Oreochromis niloticus"
"138","observamos Oreochromis","observamos Oreochromis","Oreochromis sp","FALSE",NA,NA,"Oreochromis sp"
"139","Oreochromis sp.","Oreochromis sp","Oreochromis sp","FALSE",NA,NA,"Oreochromis sp"
"140"," Oreochromis sp.","Oreochromis sp ","Oreochromis sp","FALSE",NA,NA,"Oreochromis sp"
"141"," P. 'sphenops'","P   sphenops ","Poecilia sphenops","FALSE",NA,NA,"Poecilia sphenops"
"142"," P. baenschi","P  baenschi","Poeciliopsis baenschi","FALSE",NA,NA,"Poeciliopsis baenschi"
"143","P. baenschi","P  baenschi","Poeciliopsis baenschi","FALSE",NA,NA,"Poeciliopsis baenschi"
"144"," P. balsas","P  balsas","Poeciliopsis balsas","FALSE",NA,NA,"Poeciliopsis balsas"
"145"," P. balsas)","P  balsas ","Poeciliopsis balsas","FALSE",NA,NA,"Poeciliopsis balsas"
"146"," P. butleri","P  butleri","Poecilia butleri","FALSE",NA,NA,"Poecilia butleri"
"147","P. butleri","P  butleri","Poecilia butleri","FALSE",NA,NA,"Poecilia butleri"
"148"," P. butleri (1968)","P  butleri  1968 ","Poecilia butleri","FALSE",NA,NA,"Poecilia butleri"
"149"," P. cf. butleri","P  cf  butleri","Poecilia cf butleri","FALSE",NA,NA,"Poecilia cf butleri"
"150"," P. cf. sphenops","P  cf  sphenops","Poecilia cf sphenops","FALSE",NA,NA,"Poecilia cf sphenops"
"151"," P. chica","P  chica","Poecilia chica","FALSE",NA,NA,"Poecilia chica"
"152"," P. gracilis","P  gracilis","Poeciliopsis gracilis","FALSE",NA,NA,"Poeciliopsis gracilis"
"153"," P. infans","P  infans","Poeciliopsis infans","FALSE",NA,NA,"Poeciliopsis infans"
"154","P. infans","P  infans","Poeciliopsis infans","FALSE",NA,NA,"Poeciliopsis infans"
"155"," P. latipunctata","P  latipunctata","Poecilia latipunctata","FALSE",NA,NA,"Poecilia latipunctata"
"156"," P. mexicana","P  mexicana","Poecilia mexicana","FALSE",NA,NA,"Poecilia mexicana"
"157"," P. mexicana(?)","P  mexicana   ","Poecilia mexicana","FALSE",NA,NA,"Poecilia mexicana"
"158"," P. nigromaculatus","P  nigromaculatus","Pomoxis nigromaculatus","FALSE",NA,NA,"Pomoxis nigromaculatus"
"159"," P. reticulata","P  reticulata","Poecilia reticulata","FALSE",NA,NA,"Poecilia reticulata"
"160","P. reticulata","P  reticulata","Poecilia reticulata","FALSE",NA,NA,"Poecilia reticulata"
"161"," P. sphenops","P  sphenops","Poecilia sphenops","FALSE",NA,NA,"Poecilia sphenops"
"162"," P. turneri","P  turneri","Poeciliopsis turneri","FALSE",NA,NA,"Poeciliopsis turneri"
"163"," P. turrubarensis","P  turrubarensis","Poeciliopsis turrubarensis","FALSE",NA,NA,"Poeciliopsis turrubarensis"
"164"," (P. turrubarensis)","P  turrubarensis ","Poeciliopsis turrubarensis","FALSE",NA,NA,"Poeciliopsis turrubarensis"
"165"," P. viriosa","P  viriosa","Poeciliopsis viriosa","FALSE",NA,NA,"Poeciliopsis viriosa"
"166"," P.cf. butleri","P cf  butleri","Poecilia cf butleri","FALSE",NA,NA,"Poecilia cf butleri"
