"Order","Family","Authority","Previous","Updated","Regional_Status","Comment"
"Cypriniformes","Leuciscidae","Tampichthys dichromus (Hubbs & Miller, 1977)","Dionda dichroma","yes","Native",NA
"Cypriniformes","Leuciscidae","Tampichthys mandibularis (Contreras-Balderas & Verduzco-Martínez, 1977)","Dionda mandibularis","yes","Native",NA
"Cyprinodontiformes","Goodeidae","Xenoophorus captivus (Hubbs, 1924)","Xenoophorus captivus","no","Native",NA
"Cyprinodontiformes","Goodeidae","Xenotaenia resolanae Turner, 1946","Xenotaenia resolanae","no","Native",NA
"Cyprinodontiformes","Goodeidae","Xenotoca eiseni (Rutter, 1896)","Xenotoca eiseni","no","Native",NA
"Cyprinodontiformes","Goodeidae","Xenotoca melanosoma Fitzsimons, 1972","Xenotoca melanosoma","no","Native",NA
"Cyprinodontiformes","Goodeidae","Xenotoca variata (Bean, 1887)","Xenotoca variata","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Xiphophorus hellerii Heckel, 1848","Xiphophorus hellerii","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Xiphophorus maculatus (Günther, 1866)","Xiphophorus maculatus","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Xiphophorus variatus (Meek, 1904)","Xiphophorus variatus","no","Introduced",NA
"Cypriniformes","Leuciscidae","Yuriria alta (Jordan, 1880)","Yuriria alta","no","Native",NA
"Cypriniformes","Leuciscidae","Yuriria chapalae (Jordan & Snyder, 1899)","Yuriria chapalae","no","Native",NA
"Cyprinodontiformes","Goodeidae","Zoogoneticus quitzeoensis (Bean, 1898)","Zoogoneticus quitzeoensis","no","Native",NA
